utterance|intent|domain|dialogue_id
I am looking to book a table for 4 at a Mexican type of restaurant in Tracy, ca at 2pm wednesday|reservation|restaurant|single_sen
Where can I book a rehearsal supper reservation for 40?|reservation|restaurant|single_sen
Please give me the top three that you have.|rating|restaurant|single_sen
I am looking to book a table for 8 at a Greek type of restaurant in Merced, ca at 1pm Monday|reservation|restaurant|single_sen
Are any Italian restaurants in the area open after midnight?|restaurantname|restaurant|single_sen
I am looking to book a table for 5 at a German type of restaurant in San Jose, ca at 7pm thursday|reservation|restaurant|single_sen
Hello can you show me resturant review for Middletown Pizza?|rating|restaurant|single_sen
Can I get a table for 3 at the Hard Rock Cafe in Seattle on March 16th at 1 PM?|reservation|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle on March 12th at 6 PM?|reservation|restaurant|single_sen
I'm told when in asheville, nc I should get some mountain oysters.  book me a place where i can eat those.|reservation|restaurant|single_sen
What restaurants would be good for a special occasion?|restaurantname|restaurant|single_sen
Looking for a rooftop (or upper floor) restaurant in wilmington, nc?|restaurantname|restaurant|single_sen
I am looking to book a table for 3 at a Mexican food restaurant in New York, New York at 2pm sunday|reservation|restaurant|single_sen
I am looking to book a table for 2 at a restaurant in New York, New York at 3pm Monday|reservation|restaurant|single_sen
What are the best seafood restaurants in Providence, RI?|restaurantname|restaurant|single_sen
Can you tell me more about the three options and provide alternatives?|other|restaurant|single_sen
I'm looking for a good breakfast place in Austin, to reserve for a party of 8|restaurantname|restaurant|single_sen
Yes please! I would like a table for 6 at the fanciest restaurant you can find here in Seattle!|reservation|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle this Sunday at 6 PM?|reservation|restaurant|single_sen
I would like to reserve a table for a 5 start restaurant for  two in Chicago at 7 PM on 3/18/2016|reservation|restaurant|single_sen
Good Evening, I need to find a five star seafood restaurant located in south philadelphia|restaurantname|restaurant|single_sen
Sure how expensive is Chart House?|pricing|restaurant|single_sen
I am looking to book a table for 5 at a Italian restaurant in New York, New York at 7pm next Monday Night|reservation|restaurant|single_sen
I'm talking about China Grove (texas) and needing dinner for 2 saturday night at 8|reservation|restaurant|single_sen
Hey. Can I get a table at an italian restaurant in miami tonight? 2 people. Something fancy|reservation|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle tomorrow at 6 PM?|reservation|restaurant|single_sen
i need reservations for an asian food restaurant  in renton washington|reservation|restaurant|single_sen
I am looking to book a table for 3 at a Italian type of restaurant in San Jose, ca at 3pm today|reservation|restaurant|single_sen
please book a table for 2 at the melting pot in wilmington, nc for my mom and dads anniversary at 5pm (their old and need to be in bed early)|reservation|restaurant|single_sen
Is there anyplace to eat on Bald Head Island in North Carolina?|restaurantname|restaurant|single_sen
Detroit, MI. I'm looking for upscale greek food|restaurantname|restaurant|single_sen
I'd like to find an Italian restaurant in Atlanta open for brunch|restaurantname|restaurant|single_sen
Yes please. I need a table for 4 at a great seafood place. The reservation would be for 3\/16\/16 at 5PM|reservation|restaurant|single_sen
How well is Little Cleo's rated?|rating|restaurant|single_sen
is there a restaurant in nashville that uses locally grown food?  would like to book tomorrow at 5pm|restaurantname|restaurant|single_sen
Yes please. I need a table for 3 at a place with a good duck dish. Do you know of any?|reservation|restaurant|single_sen
I am looking to book a table for 1 at a hotel restaurant in New York, New York at 7pm tonight|reservation|restaurant|single_sen
I'm dating an Angel in Harlem. looking to impress her saturday night at 8|restaurantname|restaurant|single_sen
Yes please. I need a table for 8 plus a high chair at an affordable but romantic Mexican place. Its our anniversary, but we have to bring the kid.|reservation|restaurant|single_sen
im sitting on the dock of the bay in san francisco where is something fishy to eat nearby tonight at 6 for just me?|restaurantname|restaurant|single_sen
I would. I would like to get a table for 20 here in Las Vegas. How about the nicest Mexican food you can find?|reservation|restaurant|single_sen
looking for a dinner theater in Knoxville tenn|restaurantname|restaurant|single_sen
Please book a table for 3 in Seattle for tomorrow at 7:00 PM at Barolo under the name Dorothy Zbornak|reservation|restaurant|single_sen
What restaurants around me require a jacket?|restaurantname|restaurant|single_sen
I am looking to book a table for 5 at any restaurant in New York, New York at 5pm tonight|reservation|restaurant|single_sen
I am looking to book a table for 3 at a cafe type of restaurant in Manteca, ca at 3pm today|reservation|restaurant|single_sen
Book a reservation for two on Friday.|reservation|restaurant|single_sen
Can you find me Vegan cuisine in Los Angeles?|restaurantname|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle on March 15th at 6 PM?|reservation|restaurant|single_sen
I would like to make a reservation for Indian food in Princeton, NJ for tomorrow night.|reservation|restaurant|single_sen
I'd like to make a reservation for 3 at the Laughing Seed in Asheville|reservation|restaurant|single_sen
Yes I'm looking to book a table for 6 at 6pm on tuesday in New York|reservation|restaurant|single_sen
Looking for a place that lets you get a little wild, but not crazy in wilmington, nc|restaurantname|restaurant|single_sen
I hear there's a place downtown where you can cook your own food.  that would be fun, wouldn't it?|restaurantname|restaurant|single_sen
could we do two bookings of 4 each?|reservation|restaurant|single_sen
need one of those cheese places where you cook your own food in knoxville tonight|restaurantname|restaurant|single_sen
I am lactose intolerant, gluten free, and allergic to nuts (and bees). Book me some place in wilmington, NC that won't kill me.|reservation|restaurant|single_sen
any place where the military eats free in knoxville?|restaurantname|restaurant|single_sen
Where is a good place in wilmington to celebrate a divorce.  It will be just me and my longterm girlfriend|restaurantname|restaurant|single_sen
Please book a table for 4 in Seattle for tomorrow at 7:30 PM at Bar Melusine under the name Elvis Dumervil|reservation|restaurant|single_sen
I would like to book a table at a child freindly Italian restaurant that serves pizza in the Seattle area|reservation|restaurant|single_sen
Can I get a table for 3 at the the Hard rock Cafe in Seattle tonight?|reservation|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle on March 16th at 6 PM?|reservation|restaurant|single_sen
Looking for a place to have a baby shower preferably where there aren't a lot of men around|restaurantname|restaurant|single_sen
Where should I go for Italian in Philadelphia?|restaurantname|restaurant|single_sen
I am looking to book a table for 7 at an American type of restaurant in Merced, ca at 3pm next thursday|reservation|restaurant|single_sen
What are the best casual dining restaurants in Providence, RI?|restaurantname|restaurant|single_sen
Can you tell me what times are the least busiest for each option?|starttime|restaurant|single_sen
I would like four tickets for tonight to see Gods of Egypt 3D at 3:55 PM in the Century 16 South Point. in Las Vegas NV|other|restaurant|single_sen
What would be a good sit down restaurant with toddlers?|restaurantname|restaurant|single_sen
I am looking for Cajun Cuisine|restaurantname|restaurant|single_sen
please find a table with a lake view saturday at 8 in chicago for 4 people|restaurantname|restaurant|single_sen
where in wilmington, nc do they have heated outdoor seating?|restaurantname|restaurant|single_sen
I would like to reserve a table at a 5 star restaurant in New York City for April 4th|reservation|restaurant|single_sen
What types of food does each serve?|food|restaurant|single_sen
what time on friday would be the best to avoid traffic if i want to eat at the little dipper in downtown wilmington, nc|starttime|restaurant|single_sen
I would like to reserve a table at Atwood for two in Cafe Spiaggia at 7:30 PM on 3/18/2016|reservation|restaurant|single_sen
i would like to make a reservation to any restaurant close to 98144|reservation|restaurant|single_sen
I would like to reserve a table for five on Saturday aftrnoon|reservation|restaurant|single_sen
i would like to make a reservation for 2 for midnight at a restaurant in nyc|reservation|restaurant|single_sen
looking for dinner and dancing in wilmington, nc tonight at 6 for 2 people|restaurantname|restaurant|single_sen
Good Evening, can you suggest any restaurants near Philadelphia that specialize in hibachi style?|restaurantname|restaurant|single_sen
I am looking to book a table for 3 at a Middle eastern type of restaurant in Manteca, ca at 3pm today|reservation|restaurant|single_sen
Please book a table for 1 in Seattle for tomorrow at 8:00 PM at Bar Cotto under the name Gary Mehigan|reservation|restaurant|single_sen
where can I get good irish cooking in wilmington, nc?|restaurantname|restaurant|single_sen
I would like the best restaurant in boston ma for a business meeting of 10|restaurantname|restaurant|single_sen
Book me a riverview restaurant for 4 at 8pm in new bern, nc|reservation|restaurant|single_sen
I am looking to book a table for 16 at a Mexican food restaurant in Pasadena at 8pm tonight|reservation|restaurant|single_sen
find me Mexican food in San Diego|restaurantname|restaurant|single_sen
The best Italian restaurants in Chicago|restaurantname|restaurant|single_sen
So.. I want to go to this restaurant but I want to make sure its authentic Mexican resaurant and want to know its not some Taco Bell style knock off and if it is II would like to reserve a table at the Spotted Donkey Cantina in Scottsdale 7:30PM for two people on 3/22/2016|reservation|restaurant|single_sen
I'm interested in making a reservation for next Wednesday night in Detroit. Really craving Soul food and there will be about 8 of us.|reservation|restaurant|single_sen
Can you find me a dog friendly restaurant in Los Angeles?|restaurantname|restaurant|single_sen
Where can I get Sushi in Birmingham, AL|restaurantname|restaurant|single_sen
 I would like to get a table for vegan/Organic food on 3/18 for two people preferrably around 6 pm in San Francisco|reservation|restaurant|single_sen
find me a breakfast house in myrtle beach night|restaurantname|restaurant|single_sen
Can I get the first available table at the Pink Door in Seattle for 3?|reservation|restaurant|single_sen
find me a  waffle house in myrtle beach tomorrow morning around 9|restaurantname|restaurant|single_sen
I would like to reserve a table at Elephant bar in Scottsdale 7:15 PM for two people on 3/22/2016|reservation|restaurant|single_sen
do the party boats in myrtle beach offer dining?|reservation|restaurant|single_sen
Looking for a family restaurant near Family Kingdom amusement park in myrtle beach for march 31|restaurantname|restaurant|single_sen
i am looking for a chinese restaurant in eugene oregon please|restaurantname|restaurant|single_sen
What is a good Mexican restaurant in Birmingham, AL|reservation|restaurant|single_sen
i'm looking for an italian restaurant in portlnad oregon|restaurantname|restaurant|single_sen
Hello! We are in NYC for a family vacation and my son cannot have any gluten or extra sugar. Do you know of anywhere we can get a quick bite to eat that will have dietary info available?|restaurantname|restaurant|single_sen
Book a restaurant with a bar|reservation|restaurant|single_sen
Can you recommend a place in Chicago that serves Italian food and not too expensive? I'd like the most for my money so a 4 star place that doesn't have the highest rating on price would be perfect|restaurantname|restaurant|single_sen
Hello! I need to book a 4-star restaurant that has a romantic atmosphere. Have any suggestions?|reservation|restaurant|single_sen
my daughter is graduating from pre-school and we want to celibrate.  where is a good place in las vegas to do that|restaurantname|restaurant|single_sen
Book a reservation for a Thai restaurant.|reservation|restaurant|single_sen
I'd like to get a spot for 3 people at a place that has live music, jazz preferably, and that has a good wine selection in the Seattle area. It will be for Friday night.|restaurantname|restaurant|single_sen
Book a reservation for an Italian restaurant|reservation|restaurant|single_sen
Is there a good seafood place in Birmingham, AL|restaurantname|restaurant|single_sen
I would like to reserve a table at a Nice 5 star French Cuisine in Juneau Alaska at 7:30PM for two people on 3/22/2016|reservation|restaurant|single_sen
Can I get a reservation for 3 at the Hard Rock Cafe in Destin, FL on March 21st at 2PM?|reservation|restaurant|single_sen
Can you find a different restaurant in Destin, FL?|restaurantname|restaurant|single_sen
Where is a pizza place that serves beer in Birmingham, AL|restaurantname|restaurant|single_sen
Hi! I am looking for a seafood restaurant in San Francisco and would like to reserve a table for two on 3/18 at 6 pm any suggestions?|restaurantname|restaurant|single_sen
I really want to try Fiorito in Miami. Can you get me the earliest reservation available, starting Monday? I have two people|reservation|restaurant|single_sen
Book a reservation for a special occasion.|reservation|restaurant|single_sen
My wife wants to eat at The Hobbit in Orange County. Can you get us a table for this Friday? I think they might be all booked up so list the times available if you could, please|restaurantname|restaurant|single_sen
I'm looking to eat at a really off-the-wall type place in San Francisco. A really expensive Mexican place or a Loas food place is the type of stuff I'm interested in|restaurantname|restaurant|single_sen
Can I get a reservation for 3 at the Hard Rock Cafe in Seattle on March 21st at 10PM?|reservation|restaurant|single_sen
Where is the closest Dave and Busters to zip code 35242?|address|restaurant|single_sen
Can I get a table for 3 at Flemmings  on March 19th at 2 PM?|reservation|restaurant|single_sen
Can I get a reservation for 3 at the Hard Rock Cafe in Seattle on March 21st at 11PM?|reservation|restaurant|single_sen
i need a good restaurant for kids in Houston.|restaurantname|restaurant|single_sen
Can you tell me if there are other options at 5a5 Steak Lounge and if there are other options besides steak I would like to reserve a table at 5a5 steak lounge in San Francisco at 7:15 PM for two people on 3/22/2016|reservation|restaurant|single_sen
Cool that sounds good to me I would like to BOOK IT!|reservation|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle a week from today at 2 PM?|reservation|restaurant|single_sen
Looking for barbeque in augusta georgia tomorrow afternoon|restaurantname|restaurant|single_sen
i would like to find a seafood restaurant in portland oregon|restaurantname|restaurant|single_sen
I tired Palme d'Or in Miami but didn't really like it. Can you find me a place that is similar?|restaurantname|restaurant|single_sen
 I would like to get a table for vegetarian food on 3/18 for two people preferrably around 6 pm in West Palm Beach Florida|reservation|restaurant|single_sen
Can I get a table for 3 at the Melting Pot in Birmingham, AL on March 22nd?|reservation|restaurant|single_sen
Can I get the first available table for 3 tomorrow at Flemmings in Birmingham, AL|reservation|restaurant|single_sen
I would like to reserve a table at a nice 5 star steak house in Beverly HIlls 7:30PM for two people on 3/22/2016|reservation|restaurant|single_sen
I have a craving for eating with my hands and watching people joust.  can I do that in mYrtle beach tuesday night?|restaurantname|restaurant|single_sen
Can you book a table for two at Binkley's Restaurant in Phoenix? I need the reservation for Thursday from 5 to 8pm|reservation|restaurant|single_sen
Where can I get a good steak in Birmingham, AL|restaurantname|restaurant|single_sen
Can you recommend a family friendly restaurant in Birmingham, AL|restaurantname|restaurant|single_sen
looking for atable for 2 at an itilian restaurant nearin myrtle beach tomorrow night|reservation|restaurant|single_sen
What kind of food do they serve at the Pink Door in Seattle|food|restaurant|single_sen
I need to reserve a place that is highly rated in ambiance in Scottsdale, AZ|reservation|restaurant|single_sen
Where can I get some korean cuisine in Dallas, TX?|restaurantname|restaurant|single_sen
book Ai Sushi Sake Grill|reservation|restaurant|single_sen
i am looking for a mexican restaurant in portlnad oregon|restaurantname|restaurant|single_sen
What type of food does Flemmings serve in Birmingham, AL|food|restaurant|single_sen
i am looking for a restaurant that serves great steaks in portland oregon|restaurantname|restaurant|single_sen
I want to make a reservation for Japanese food|reservation|restaurant|single_sen
Whats good to eat near teh KOA campground in myrtle beach tomorrow night|restaurantname|restaurant|single_sen
need something with aview of the airport in myrtle beach thursday for lunch|restaurantname|restaurant|single_sen
Looking for japanese in savannah tuesday night|restaurantname|restaurant|single_sen
Can you find me a place that would allow my seeing eye dog? I live in Miami and want to eat tomorrow for lunch|restaurantname|restaurant|single_sen
i am looking for a chinese restaurant in portland oregon|restaurantname|restaurant|single_sen
I am looking for a good burger place in Birmingham, AL on March 21st at 2PM for 3|restaurantname|restaurant|single_sen
Best formal restaurants in Los Angeles|restaurantname|restaurant|single_sen
I need a table at Shaya in New Orleans for this coming Wednesday|reservation|restaurant|single_sen
Are there restaurants in Los Angeles that make dishes for your dog as well? My girlfriend has this annoying yappy purse dog and apparently this is the way we eat now|restaurantname|restaurant|single_sen
i am looking for a mexican restaurant in portland oregon|restaurantname|restaurant|single_sen
Can I get a table at the Royal Palm Grille in Destin, FL tomorrow at 3PM|reservation|restaurant|single_sen
I need at table at Angelini Osteria for Friday March 25. Can you give me the available times?|reservation|restaurant|single_sen
I need to book a really nice and formal place in Phoenix. It's for two people|reservation|restaurant|single_sen
Can I get a reservation for 3 at the Hard Rock Cafe in Orlando on March 21st at 6 PM?|reservation|restaurant|single_sen
Celebrating my divorce in Myrtle beach. Where is there good food and strippers.|restaurantname|restaurant|single_sen
I am looking for a good pizza place in Birmingham, AL on March 21st at 2PM for 3|restaurantname|restaurant|single_sen
I go to Primo Plates & Pours in Minneapolis all the time. I'd like to eat a place that is similar Wednesday around 6pm|restaurantname|restaurant|single_sen
I eat there a lot, I'd like to find a place that is similar|restaurantname|restaurant|single_sen
I'm looking for a healthy vegan type place in Los Angeles. I have two people and we want to dine next Friday around 5pm|restaurantname|restaurant|single_sen
Can I have a table for 3 at 2PM on March 18th at Bellini's Ristorante & Bar In Birmingham, AL|reservation|restaurant|single_sen
I'm looking to book a place that is formal and has a dress code in New York City|reservation|restaurant|single_sen
Can I get the first available table tonight at the Hard Rock Cafe in Orlando|reservation|restaurant|single_sen
looking for a place for amarican food near ripleys belive it or not in myrtle beach next friday at 6|restaurantname|restaurant|single_sen
Can you recommend a pizza place in Pheonix, AZ? I remember a place that starts with a V, just can't remember the whole name|restaurantname|restaurant|single_sen
where can I get an early bird special discount in wilmington, nc tomorrow|restaurantname|restaurant|single_sen
Can you find me the top rated Italian place in San Diego, CA? I have 4 people|restaurantname|restaurant|single_sen
Can you find me a high rated Argentinean place in Miami?|restaurantname|restaurant|single_sen
Are there any oyster bars around in the Scottsdale area?|restaurantname|restaurant|single_sen
I'm looking for a restaurant you can book near 94952|restaurantname|restaurant|single_sen
Can you recommend a good Moroccan place in New York City? I have a big group (8 people)|restaurantname|restaurant|single_sen
I need to find a taco place that only serves organic food|restaurantname|restaurant|single_sen
I would like to reserve a table for a 5 star Italian restaurant in Scottsdale  7:15 PM for two people on 3/22/2016|reservation|restaurant|single_sen
I need some assistance in booking a restaurant.|reservation|restaurant|single_sen
I need a table for 4 in San Francisco. My wife wants a place that is trendy, but it's okay it isn't|reservation|restaurant|single_sen
I'd like to eat at a vegetarian restaurant in Atlanta tonight.|restaurantname|restaurant|single_sen
Please book a table for 2 in Seattle for tomorrow at 6:30 PM at La Medusa under the name Elvis Dumervil|reservation|restaurant|single_sen
Can I get a table for 3 at the Pink Door in Seattle tonight at 8 PM?|reservation|restaurant|single_sen
Can you get me the available times for Crossroads in Los Angeles? I have two people and I'm looking at March 24th|reservation|restaurant|single_sen
Hi! I'm gonna be in NYC and want to eat at a place that has a great view of Times Square. A place in a high rise building would be great! There's 2 of us for Thursday night.|restaurantname|restaurant|single_sen
I would like to reserve a table at Steak 44 in Scottsdale 7:30PM for two people on 3/22/2016 and can you tell me the price range as well|reservation|restaurant|single_sen
I would like to reserve a table at a place to eat seafood in Las Vegas for two people on 3/22/2016|reservation|restaurant|single_sen
I have a large party, 10 to be exact. Can you find me a restaurant in Los Angeles that serves food that isn't too niche (like Moroccan, Ehiopian, etc)|restaurantname|restaurant|single_sen
i am looking for a mexican restaurant in medford oregon|restaurantname|restaurant|single_sen
Looking to eat seafood in myrtle beach wednesday night.  2 of us|restaurantname|restaurant|single_sen
Hi!!!!  I would like to reserve a table at a SUPER nice Mexican spot in Scottsdale 7:30PM for two people on 3/22/2016|reservation|restaurant|single_sen
I'm looking for a authentic Mexican restaurant on the riverwalk in San Antonio.|restaurantname|restaurant|single_sen
I'm trying to remember the name of an Italian place in San Diego that starts with an M, can you help me?|reservation|restaurant|single_sen
is there a riverboat dining in myrtle beach|restaurantname|restaurant|single_sen
I would like to reserve a table at a nice steak house in Chicago for two people on 3/22/2016|reservation|restaurant|single_sen
We want to have a Bon Voyage party at an Italian type restaurant in the San Diego area. They're going to Italy so the more authentic the better. We plan to have 10 people attending and it would be for March 20th at 6:00 pm|restaurantname|restaurant|single_sen
My grandmother is a vegan and I would like to take her to a restaurant next Friday|restaurantname|restaurant|single_sen
i am looking for a mediterrean restaurant in portland  oregon please|restaurantname|restaurant|single_sen
I am looking for a good Hibachi place in Birmingham, AL on March 21st at 2PM for 3|restaurantname|restaurant|single_sen
I would like to get a table for vegetarian food on 3/18 for two people preferrably around 6 pm in Las Vegas|reservation|restaurant|single_sen
I'm looking for a restaurant that has live music in Austin.|restaurantname|restaurant|single_sen
find me a sushi place near the ocean in myrtle beach tomorrow night|restaurantname|restaurant|single_sen
I'm looking to make a reservation for next Saturday, 5 people, business casual attire with good reviews in the Sacramento area.|reservation|restaurant|single_sen
Can I have a table for 3 at Flemmings in Birmingham, AL tonight at 8 PM|reservation|restaurant|single_sen
Celebrating my wife new boob job in myrtle beach and we need a place to eat where she won't scare the kids.|restaurantname|restaurant|single_sen
Can I book ShinBay in Scottsdale, AZ through you?|reservation|restaurant|single_sen
Please book a table for 2 in Seattle for tomorrow at 7:30 PM at Bistro Turkuaz under the name Judson Mills|reservation|restaurant|single_sen
I heard Don Shula has a steakhouse in Miami. Not sure what it's called but I'd like to eat there Thursday|restaurantname|restaurant|single_sen
looking for a place to get dinner and a show in myrtle beach tomorrow night at 8 for 4 people|restaurantname|restaurant|single_sen
I heard The Angry Crab in Chicago is great, I'd like a table there. I figure it might be pretty booked up, so I'm okay with the earliest table available for a dinner|reservation|restaurant|single_sen
Can you find one that is similar?|restaurantname|restaurant|single_sen
best italian restaurants in new york city|restaurantname|restaurant|single_sen
Planet hollywood myrtle beach wednesday night at 6 for 4|reservation|restaurant|single_sen
Can you help me book a restaurant?|reservation|restaurant|single_sen
Can you let me know when the restaurant closes please as well as it average ratings. I just want to be sure that this is a good place to dine.|rating|restaurant|single_sen
That seems very reasonable, go ahead and book a spot for me please. Thank you.|reservation|restaurant|single_sen
Can you find me a good seafood place in New Orleans?|restaurantname|restaurant|single_sen
I need a romantic restaurant in downtown Dallas for a first date.|restaurantname|restaurant|single_sen
I would like to reserve a table at FnB 6:00 PM for two people on 3/22/2016|reservation|restaurant|single_sen
I'm looking for a place that serves a variety of different specialty beers but has a good menu. I'm in Chicago|restaurantname|restaurant|single_sen
Please book a table for 4 in Seattle for tomorrow at 6:30 PM at Che Sara Sara under the name Mary Berry|reservation|restaurant|single_sen
Can you find a good brunch place that is wheelchair accessible? I'm in New York City|restaurantname|restaurant|single_sen
i am looking for a chinese restaurant in medford oregon please|restaurantname|restaurant|single_sen
I would like to try a steak house in Houston but I'm not sure who is the best.|restaurantname|restaurant|single_sen
Can I get the first available table today for 3 at the Hard Rock Cafe in Seattle|reservation|restaurant|single_sen
i am looking for a sushi restaurant in portland oregon please|restaurantname|restaurant|single_sen
Can you find me a restaurant that is close to the Lincoln Memorial in Washington, DC?|restaurantname|restaurant|single_sen
 would like to get a table for a 5 star Mexican Cantina on 3/25 for two people preferrably around 6 pm in Houston, Texas|reservation|restaurant|single_sen
Hi there, I would like to book a restaurant.|reservation|restaurant|single_sen
Im looking for a restaurant in Austin that is good for large groups and lively|restaurantname|restaurant|single_sen
I need to find a place that serves all organic food|restaurantname|restaurant|single_sen
I would like to reserve a table at a nice 5 star steakhouse in San Francisco at 7:15 PM for two people on 3/18/2016|reservation|restaurant|single_sen
Please book a table for 3 in Seattle for tomorrow at 7:00 PM at Che Sara Sara under the name Cordell Walker|reservation|restaurant|single_sen
Menu option|other|restaurant|single_sen
I like to make a reservation for The Black Sheep Restaurant at Kendall Hotel.|reservation|restaurant|single_sen
Please book a table for 3 in Seattle for tomorrow at 6:30 PM at Blackboard Bistro under the name Gary Mehigan|reservation|restaurant|single_sen
Looking for a place to eat crabs wednesday night in myrtle beach|restaurantname|restaurant|single_sen
I need a table for a party of 12 in Portland at a mexican restaurant at 6pm tuesday|reservation|restaurant|single_sen
Do you know of a pizza place that I can bring 3 people to for lunch on Friday within the Dallas, TX area?|restaurantname|restaurant|single_sen
I need a table for a party of 12 in NYC at a restaurant that we can book a room in at 6pm tuesday|reservation|restaurant|single_sen
I have a large group of 8 and I need a place that has a kids menu for next Sunday from noon to 2pm|restaurantname|restaurant|single_sen
I am looking for a Thai place, or Vietnamese, that is located with 25 miles of Concord, CT. That has an availability on next Friday for around 6:30-7:30 pm for 6 people. Can you make it happen?|restaurantname|restaurant|single_sen
Looking for red panda restaurant in turkville, kansas|restaurantname|restaurant|single_sen
I need a good place to eat Sushi.|restaurantname|restaurant|single_sen
can you please tell me a place that serves grassfed beef|restaurantname|restaurant|single_sen
Need a place to take my destructive special needs son|restaurantname|restaurant|single_sen
Where is the best italian food that has reservations available tonight|restaurantname|restaurant|single_sen
Do you know what the best pizza is in the city and if they accept reservations|restaurantname|restaurant|single_sen
where can I find a large party room for a pizza party in cheyenne|restaurantname|restaurant|single_sen
I need Italian food in Brooklyn for 2 people.|restaurantname|restaurant|single_sen
I'm looking for a 4-star restaurant in Las Vegas. Off the Strip, 5 people, Italian cuisine.|restaurantname|restaurant|single_sen
Where is Zeffirino located?|address|restaurant|single_sen
I need a table for a party of 24 in NYC at a mexican restaurant at 12pm tuesday|reservation|restaurant|single_sen
Can you give me the pricing for those options|pricing|restaurant|single_sen
Can you please book Lasseigne's American Grill|reservation|restaurant|single_sen
I need a good chinese place in Boston.|restaurantname|restaurant|single_sen
can i get german food in Boston>|restaurantname|restaurant|single_sen
I need a table for a party of 12 in LA at a popular restaurant at 6pm tuesday|reservation|restaurant|single_sen
I need a table for a party of 12 in NYC at a mexican restaurant at 6pm tuesday|reservation|restaurant|single_sen
I would like to go out to dinner.|restaurantname|restaurant|single_sen
I need a good chinese place.|restaurantname|restaurant|single_sen
I need a table for a party of 3 in LA at a mexican restaurant at 6pm tuesday|reservation|restaurant|single_sen
I'm looking for a place that will take a late reservation - around 11pm - for 2 in Las Vegas. French cuisine is preferred, but not required.|reservation|restaurant|single_sen
I need a table for a party of 12 in dallas at a mexican restaurant at 6pm tuesday|reservation|restaurant|single_sen
Do any of those restaurants have a bar?|restaurantname|restaurant|single_sen
Can you please give me the ratings for those restaurants|rating|restaurant|single_sen
Can you please book Frog Hollow Tavern|reservation|restaurant|single_sen
I'm looking for a vegetarian restaurant in Providence, RI, that also has vegan options.|restaurantname|restaurant|single_sen
I'm in Phoenix, AZ. Are there any real vegan restaurants here?|restaurantname|restaurant|single_sen
Can I make a reservation for Friday, between 6pm and 7:30pm for Pomegranate Cafe. It would be for 2 people.|reservation|restaurant|single_sen
looking for oysters in wilmington, nc|restaurantname|restaurant|single_sen
I'm looking to book a reservation for two for steak and seafood tongiht|reservation|restaurant|single_sen
I need a good german restaurant for tomorrow.|restaurantname|restaurant|single_sen
 need a table for a party of 7 in NYC at a healthy restaurant at 6pm tuesday|reservation|restaurant|single_sen
I need a table for a party of 25 in LA at a mexican restaurant at 6pm tuesday|reservation|restaurant|single_sen
Does Ruxbin in Chicago have any reservations for Friday night around 6pm?|reservation|restaurant|single_sen
where can I find a restaurant with a pool in orlando|restaurantname|restaurant|single_sen
Do any of those restaurants have outdoor seating?|restaurantname|restaurant|single_sen
best hibabchi in nashville, tn|restaurantname|restaurant|single_sen
I'm looking for a Moroccan place with belly dancing for Friday after 9pm|restaurantname|restaurant|single_sen
 need a table for a party of 12 in Modesto at a healthy restaurant at 2pm tuesday|reservation|restaurant|single_sen
I need a table for a party of 4 in Modesto at a mexican restaurant at 6pm Thursday|reservation|restaurant|single_sen
I want to find a good restaurant at a winery in Temecula, CA for Friday|restaurantname|restaurant|single_sen
I need a place with German food in Boston for tomorrow night.|restaurantname|restaurant|single_sen
 need a table for a party of 7 in Chicago at a healthy restaurant at 6pm tuesday|reservation|restaurant|single_sen
I have a date on Friday, can you find me a restaurant with a romantic ambiance?|restaurantname|restaurant|single_sen
I need a table for a party of 12 in LA at a middle eastern restaurant at 6pm tuesday|reservation|restaurant|single_sen
I would like to purchase 2 tickets to see The Perfect Match at the Regal Meridian 16 in Seattle on March 14th.  I prefer the 9:35 PM show if available.|reservation|restaurant|single_sen
I want to find an inexpensive restaurant that's kid friendly in Madison, WI|restaurantname|restaurant|single_sen
I want sushi for 2 people in chicago.|restaurantname|restaurant|single_sen
Can you recommend a good sit-down pizza place in New York? I need a reservation for Friday around 7pm so I can understand if a lot are booked up|restaurantname|restaurant|single_sen
What is the most highly rated sushi in downtown?|restaurantname|restaurant|single_sen
 need a table for a party of 7 in Portland at a healthy restaurant at 6pm tuesday|reservation|restaurant|single_sen
best seafood in santa fe?|restaurantname|restaurant|single_sen
I need a table for a party of 7 in LA at a healthy restaurant at 6pm tuesday|reservation|restaurant|single_sen
Can you please assist with helping me find the nearest Applebee's|restaurantname|restaurant|single_sen
Sure, can you find a similar restaurant|reservation|restaurant|single_sen
Can you please search for me a vegetarian type of establishment that will be able to seat a party of 6 on Thursday evening between 5 and 7? It needs to be near Portland, Oregon.|restaurantname|restaurant|single_sen
I need a good Italian place in Boston.|restaurantname|restaurant|single_sen
Where is the best vegetarian place hardeeville, sc|restaurantname|restaurant|single_sen
What are the top 3?|rating|restaurant|single_sen
I need a reservation for 12 at 7pm at a latin restaurant in Pasadena|reservation|restaurant|single_sen
